Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
K-Medoids,Silhouette Score,Features: High Columns,3,cosine,0.2598
K-Medoids,Silhouette Score,Features: Low Columns,1,cosine,0.3566
K-Medoids,Silhouette Score,Features: Low Columns,2,earth_movers,0.3528
K-Medoids,Silhouette Score,Features: Low Columns,3,bhattacharyya,0.2749
K-Medoids,Silhouette Score,Features: Medium Columns,1,cosine,0.4659
K-Medoids,Silhouette Score,Features: Medium Columns,2,earth_movers,0.3653
K-Medoids,Silhouette Score,Features: Medium Columns,3,bhattacharyya,0.3637
K-Medoids,Silhouette Score,Imbalanced (High Imbalance),1,cosine,0.3727
K-Medoids,Silhouette Score,Imbalanced (High Imbalance),2,earth_movers,0.3644
K-Medoids,Silhouette Score,Imbalanced (High Imbalance),3,euclidean,0.1957
K-Medoids,Silhouette Score,Size: High Rows,1,cosine,0.4005
K-Medoids,Silhouette Score,Size: High Rows,2,kl_divergence,0.3848
K-Medoids,Silhouette Score,Size: High Rows,3,bhattacharyya,0.3781
K-Medoids,Silhouette Score,Size: Low Rows,1,earth_movers,0.4295
K-Medoids,Silhouette Score,Size: Low Rows,2,cosine,0.3709
K-Medoids,Silhouette Score,Size: Low Rows,3,bhattacharyya,0.2658
K-Medoids,Silhouette Score,Size: Medium Rows,1,earth_movers,0.3775
K-Medoids,Silhouette Score,Size: Medium Rows,2,cosine,0.2799
K-Medoids,Silhouette Score,Size: Medium Rows,3,bhattacharyya,0.218
KNN,Accuracy,Balanced (Low Imbalance),1,canberra,0.6814
KNN,Accuracy,Balanced (Low Imbalance),2,braycurtis,0.6785
KNN,Accuracy,Balanced (Low Imbalance),3,manhattan,0.6763
KNN,Accuracy,Features: High Columns,1,braycurtis,0.8402
KNN,Accuracy,Features: High Columns,2,canberra,0.8395
KNN,Accuracy,Features: High Columns,3,manhattan,0.8359
KNN,Accuracy,Features: Low Columns,1,manhattan,0.632
KNN,Accuracy,Features: Low Columns,2,braycurtis,0.6312
KNN,Accuracy,Features: Low Columns,3,canberra,0.6288
KNN,Accuracy,Features: Medium Columns,1,canberra,0.818
KNN,Accuracy,Features: Medium Columns,2,jensen_shannon,0.815
KNN,Accuracy,Features: Medium Columns,3,bhattacharyya,0.8135
KNN,Accuracy,Imbalanced (High Imbalance),1,canberra,0.8428
