Dataset,Category,Algorithm,Metric Type,Distance Metric,Accuracy,Precision,Recall,F1 Score,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,Normalized Mutual Info
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,canberra,0.8418032786885247,0.844831256358234,0.8418032786885247,0.841187266660743,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,canberra,0.8284699453551913,0.8317161989909053,0.8284699453551913,0.827929743826887,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,canberra,,,,,0.245287361581378,2.4275985197377286,48.43174234260655,0.2660628382270024,0.21012022656379523
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,canberra,,,,,0.17857690931615366,0.8178457102416411,1.45343270696159,-0.0010061512759301108,0.005704778909308092
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,braycurtis,0.8251912568306011,0.8299239055581277,0.8251912568306011,0.8248030420955527,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,braycurtis,0.8218032786885245,0.8251429676721231,0.8218032786885245,0.8213198943498933,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,braycurtis,,,,,0.056185385953652786,5.783086414650314,8.443858724336991,-0.002182639040361636,0.00021296583142846868
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,braycurtis,,,,,0.2910654051878971,1.6398268971408132,2.061474490598208,-0.0019247915344283808,0.011160357747460947
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,hamming,0.8088524590163935,0.8146458018372398,0.8088524590163935,0.8076895973777447,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,hamming,0.8087978142076502,0.811931120235861,0.8087978142076502,0.8083433616966726,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,hamming,,,,,0.08848094316826326,2.481511124507585,46.45046064928173,0.0273406243117126,0.020158788449488287
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,hamming,,,,,0.12195617968315639,0.8989404556069143,1.2029190731792059,0.0011871137356297711,0.007243405287056697
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,cosine,0.7920765027322404,0.7978738275425445,0.7920765027322404,0.7916834836144586,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,cosine,0.8119672131147541,0.8152657474341423,0.8119672131147541,0.8111406573515515,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,cosine,,,,,0.25976818348406316,2.057778156242746,66.71020371935566,0.27995596290095104,0.22519067018987624
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,cosine,,,,,0.3157278765838746,1.6514831680735755,2.9429563774435294,-0.002755933782262106,0.01642275890830401
Heart_disease_lr_mc.csv,balanced,KNN,Probabilistic,earth_movers,0.8020218579234972,0.808672585659278,0.8020218579234972,0.8015221541033688,,,,,
